HGNC/MGI cnn_1 cnn_2 cnn_3 cnn_4 cnn_5 cnn_6 cnn_7 cnn_8 cnn_9 cnn_10 cnn_11 cnn_12 cnn_13 cnn_14 cnn_15 cnn_16 cnn_17 cnn_18 cnn_19 cnn_20 cnn_21 cnn_22 cnn_23 cnn_24 cnn_25 cnn_26 cnn_27 cnn_28 cnn_29 cnn_30 cnn_31 cnn_32 cnn_33 cnn_34 cnn_35 cnn_36 cnn_37 cnn_38 cnn_39 cnn_40 cnn_41 cnn_42 cnn_43 cnn_44 cnn_45 cnn_46 cnn_47 cnn_48 cnn_49 cnn_50 cnn_51 cnn_52 cnn_53 cnn_54 cnn_55 cnn_56 cnn_57 cnn_58 cnn_59 cnn_60 cnn_61 cnn_62 cnn_63 cnn_64 cnn_65 cnn_66 cnn_67 cnn_68 cnn_69 cnn_70 cnn_71 cnn_72 cnn_73 cnn_74 cnn_75 cnn_76 cnn_77 cnn_78 cnn_79 cnn_80 cnn_81 cnn_82 cnn_83 cnn_84 cnn_85 cnn_86 cnn_87 cnn_88 cnn_89 cnn_90 cnn_91 cnn_92 cnn_93 cnn_94 cnn_95 cnn_96 cnn_97 cnn_98 cnn_99 cnn_100 cnn_101 cnn_102 cnn_103 cnn_104 cnn_105 cnn_106 cnn_107 cnn_108 cnn_109 cnn_110 cnn_111 cnn_112 cnn_113 cnn_114 cnn_115 cnn_116 cnn_117 cnn_118 cnn_119 cnn_120 cnn_121 cnn_122 cnn_123 cnn_124 cnn_125 cnn_126 cnn_127 cnn_128 cnn_129 cnn_130 cnn_131 cnn_132 cnn_133 cnn_134 cnn_135 cnn_136 cnn_137 cnn_138 cnn_139 cnn_140 cnn_141 cnn_142 cnn_143 cnn_144 cnn_145 cnn_146 cnn_147 cnn_148 cnn_149 cnn_150 cnn_151 cnn_152 cnn_153 cnn_154 cnn_155 cnn_156 cnn_157 cnn_158 cnn_159 cnn_160 cnn_161 cnn_162 cnn_163 cnn_164 cnn_165 cnn_166 cnn_167 cnn_168 cnn_169 cnn_170 cnn_171 cnn_172 cnn_173 cnn_174 cnn_175 cnn_176 cnn_177 cnn_178 cnn_179 cnn_180 cnn_181 cnn_182 cnn_183 cnn_184 cnn_185 cnn_186 cnn_187 cnn_188 cnn_189 cnn_190 cnn_191 cnn_192 cnn_193 cnn_194 cnn_195 cnn_196 cnn_197 cnn_198 cnn_199 cnn_200 cnn_201 cnn_202 cnn_203 cnn_204 cnn_205 cnn_206 cnn_207 cnn_208 cnn_209 cnn_210 cnn_211 cnn_212 cnn_213 cnn_214 cnn_215 cnn_216
DYRK2 2.9557 6.3103 4.8323 3.6978 9.4923 7.4962 0.1975 0.2195 4.3178 0.6076 4.8365 4.8577 -1.2695 4.3701 4.9472 -1.3413 -0.5187 5.1069 1.2489 3.2984 4.0979 0.4007 2.4077 2.5403 0.0016 1.2969 2.1494 -1.1138 -0.8433 2.0197 -2.0227 -1.9531 2.8287 1.0102 1.4807 6.3462 -1.3334 -2.0162 0.357 -0.1327 -3.7517 1.9608 3.1965 -1.0092 2.2226 0.0295 0.626 0.8432 2.2438 3.6745 3.6306 4.1276 3.3077 4.5923 -0.6456 0.7718 0.6928 3.2506 2.4598 2.6907 2.7606 1.6547 0.3729 -1.9568 -1.3416 -2.3988 2.318 1.7811 -0.1153 3.6258 5.6459 0.0696 -1.5125 -1.8601 -1.6626 0.5092 0.8234 -0.4415 2.6021 1.8415 -0.1106 0.9744 3.0597 2.8372 -0.4281 -0.8388 -1.2711 1.6155 2.5237 2.0609 2.2 1.9681 1.7615 -1.0186 -1.4394 -0.4985 1.5378 1.5935 2.1281 1.9448 0.9569 0.5129 0.1975 -1.4062 -1.5806 1.7208 -0.3655 1.3314 -0.9656 -1.6459 -2.0152 -3.5552 -2.9779 -6.1693 2.0839 -1.455 -3.0333 -1.2777 -1.8432 -2.0023 -7.4343 -5.7574 -6.0192 -0.5644 -6.4098 -1.6323 -0.8108 -1.1988 -1.219 -3.2472 -3.3912 -2.4609 1.9192 -1.058 0.4035 -2.285 -5.0251 -1.2769 0.291 -5.9611 1.5141 0.51 0.5236 -2.4695 0.2824 0.194 -1.3703 3.928 -0.0612 -0.9313 -0.8856 1.6894 -4.8486 1.2134 1.5964 -0.2446 0.5216 -2.508 0.731 0.7411 2.6216 -1.7812 -1.4592 1.0621 -0.2534 -0.033 3.1317 0.786 -0.1546 0.1533 0.4858 -0.4395 -0.2145 -0.0391 1.3567 0.7267 2.9684 3.1426 2.581 0.8328 -0.0731 -0.356 -0.739 -0.0748 1.9786 0.2157 0.6308 1.59 -1.0612 3.6548 -0.7579 -1.623 3.9479 -0.8731 -4.6439 -0.2396 -1.7897 -0.474 1.9749 -1.2993 -0.668 -0.9041 -2.8892 -1.6536 -2.1906 -4.3636 -3.7795 1.4181 0.5881 -0.1449 -0.0198 0.2243 -1.9641 -0.2802 -2.0002 -1.365
EGFR 1.3983 3.7345 2.0679 0.2829 1.2198 2.2589 -0.5719 0.8466 1.2374 1.5653 4.1349 1.1168 -2.0106 -1.8953 0.5217 2.3761 0.1274 1.8513 -2.991 -1.391 -1.4351 -1.2792 -1.0634 1.128 -0.6227 -1.6153 -1.9622 -1.4299 0.11 2.5301 1.7599 3.2668 4.4209 0.6931 -0.1917 0.671 0.1792 -1.0729 -0.4986 2.0131 2.7339 3.1489 -2.1992 0.8221 -1.5629 1.6171 0.3525 1.9592 4.5172 3.9695 2.7217 0.504 3.5407 -1.0486 0.6676 0.3602 0.6687 0.7589 2.2151 -1.5427 2.4422 0.9318 -0.7846 1.5405 -1.6853 -1.9634 2.5281 0.7846 -0.521 2.0087 0.2407 -2.3532 0.6515 0.4452 1.1618 1.3923 1.2352 0.199 -1.1138 -1.1536 -0.2533 -1.5324 -1.2456 -1.7149 0.1451 0.5688 -2.7626 -0.6474 -1.1673 -1.4663 -1.7566 -2.9702 -2.4922 0.1714 -1.1673 -1.1981 -3.728 -5.256 -1.5448 -1.9987 -2.692 -1.701 1.6973 -1.0386 -0.6819 -0.9844 -2.9859 0.5637 -1.4004 -2.6203 -6.7323 2.1484 -1.8063 -2.8467 -0.1427 0.1373 0.2005 -4.0817 -5.9401 -8.8403 -0.2231 -4.0339 -5.6873 -2.0214 -4.1774 -1.4104 -4.4572 -3.2725 -3.6028 -1.7328 -5.1836 -1.485 -1.1256 -2.6358 -0.0463 1.4441 1.2193 5.3451 1.416 3.6764 2.9299 2.3413 3.2408 2.1683 0.5276 2.5217 4.3952 1.8102 2.6012 1.1006 5.5272 6.6224 3.922 1.3615 -0.137 -0.4418 -0.4737 1.7806 -2.5338 0.3631 0.6989 -1.3525 -1.7147 -1.5104 -3.9901 -0.5652 0.2015 1.3975 -0.7416 -0.3374 0.1223 -1.1631 -2.5908 -3.3729 -0.7739 -1.6335 -2.3601 0.2125 0.9626 1.9308 -0.1814 -2.497 -0.7637 0.7849 -1.2248 -0.8959 0.347 1.6503 0.3224 1.2859 -0.237 -3.7479 -0.9793 -1.216 -0.7848 -1.9995 -1.1768 0.486 -0.596 -1.5971 -4.6557 -1.247 -3.2 -2.4996 -6.8692 -6.346 -2.5237 -3.7586 -1.5992 -2.2801 -2.2442 -1.5555 0.4088 -2.6378 -1.8613 -1.8129
ERN1 1.9429 4.3875 1.6771 2.4271 0.2889 3.3497 3.7804 0.9119 4.1579 -0.6728 4.937 3.5586 -0.0451 0.8057 3.0767 2.1237 0.3857 5.6207 -0.8416 -0.0258 -1.1991 0.403 -0.2871 2.543 0.792 0.8156 4.1301 -0.2487 -2.4397 -1.4729 -0.7033 -0.4081 -2.2266 -0.2315 0.5526 -1.0496 -3.623 -4.3225 -3.8499 -4.9779 -4.9894 -4.726 -3.4416 -3.4376 -3.785 -5.2214 -6.746 -4.827 -5.5759 -4.3208 -0.6324 -3.9156 -1.9492 -1.2084 -0.3398 -2.1729 -1.6057 -0.9161 -1.56 -0.4939 0.5902 1.0261 0.3962 -2.9879 -2.6608 0.5823 -0.5656 -3.0024 -0.9919 0.2349 -0.3664 0.5286 -1.9711 -0.7313 -0.3762 1.5108 0.0583 0.0184 0.863 -0.4083 1.7483 1.8882 -1.7816 -0.6864 -1.5642 -0.7584 0.9721 -0.3183 -2.1794 0.4306 1.7475 -3.1618 0.325 2.1169 1.4909 0.0593 3.0802 0.6044 1.2826 2.3852 -1.1874 0.7877 2.0491 2.6303 4.0033 1.5899 1.5939 1.3793 -1.7378 2.9884 1.3557 0.2259 1.9774 0.5326 1.003 0.5754 -0.2646 0.122 2.6781 1.5392 2.0665 0.5336 2.6407 1.0486 0.6938 1.0645 1.3795 4.5944 2.7975 2.9272 0.1984 4.0294 2.2968 2.0714 1.9578 0.1115 1.1973 -2.3426 2.0653 4.8508 0.1329 1.326 3.8368 1.7727 1.8027 -1.9104 1.0864 5.2984 5.4218 1.035 3.4598 4.2336 2.389 0.5952 2.0614 4.9757 3.3489 8.161 2.69 1.2009 5.0368 2.5223 -1.5893 -3.2618 -1.5819 -2.784 -1.0102 -1.7659 -0.8098 -0.7975 -0.4204 -3.8563 -3.0735 0.0478 -1.6202 1.4196 -0.5359 -1.4956 0.2178 -1.0275 -2.1824 -2.0069 -2.3169 -2.1321 -3.6471 -5.1093 -0.3158 -0.1806 -1.4356 -2.4041 -0.691 0.9447 -3.9779 0.0465 -1.8168 -0.5706 -0.4501 0.4238 0.3289 4.8673 0.8573 -1.4621 4.4766 -1.7564 0.8832 1.3392 0.6578 -0.6985 5.2982 0.2204 -1.2784 4.7309 -1.6699 0.7966 2.8846 -0.4148
EPHA2 0.8574 2.2284 -0.2716 1.0205 -0.4806 0.5995 -0.0812 1.4755 0.9689 3.2873 4.9718 1.9681 3.2647 1.6574 1.2028 4.7981 2.8679 1.6687 1.0854 4.4904 2.9022 2.6799 3.4772 2.6185 3.8723 3.6918 3.9372 -1.1344 -0.2614 -0.3258 1.2876 3.9139 4.1361 1.7971 0.6592 -0.5236 -0.0346 2.1735 0.0707 1.3952 1.104 4.561 -0.1279 3.9144 -0.7389 0.2061 0.7413 0.0568 1.0272 2.1721 1.9103 0.077 1.7132 -1.037 0.1776 -2.0006 0.3641 0.4076 0.7437 -0.5076 1.0735 -0.5472 1.7707 1.2255 -1.4373 -0.2839 4.52 0.0807 -0.3535 4.2425 -0.0801 -0.4593 -0.1533 0.6265 -0.5376 3.4013 2.358 1.7997 3.0186 1.8473 -0.9836 0.2753 -0.6329 -0.481 -1.5756 -0.312 -0.6359 -1.0072 -2.4153 -1.2794 0.3779 -2.7367 -0.6531 0.1663 0.3546 1.167 -3.9698 -3.214 0.1039 0.2091 -1.4816 -0.9977 0.3792 -0.8451 -0.6426 -1.5937 -2.574 0.6453 -0.3026 1.7386 -1.3585 4.3271 1.6488 0.848 0.8702 1.5668 0.8021 -1.0047 0.1582 -1.4013 0.5903 2.0961 -0.2313 -0.566 0.7126 3.117 -1.6177 -0.6611 -0.7351 0.1071 -1.0167 -0.2347 2.1133 1.4628 2.9172 -0.316 -1.9332 2.0138 -1.379 1.9283 -2.6135 0.4457 -0.5685 -2.2083 0.8695 -2.6422 -0.7837 -1.172 3.5267 -1.1832 -1.0751 0.6181 -1.3906 2.8263 -0.6936 -0.1728 1.2433 4.1377 -1.2054 0.7144 1.5915 0.9629 -0.2426 1.3385 -2.4043 0.4019 2.948 4.0712 0.6866 4.1254 1.8349 -0.5362 1.2265 0.1743 -0.5692 0.0092 -0.6373 -2.0777 -0.2992 -0.0186 -0.2983 -0.0757 0.8626 1.7353 1.0629 -0.8129 -0.8615 0.4259 0.7392 1.3367 2.7026 0.4043 0.5951 2.4999 1.333 0.3248 1.4304 1.113 2.6557 4.8951 2.4996 4.1267 2.8879 0.9939 -2.0182 1.1776 2.0844 1.3472 3.6956 0.876 3.6297 2.4851 0.16 -1.3811 0.6771 1.5614
EPHA3 1.1401 1.0157 -0.6124 3.5923 -1.8944 0.6456 0.2299 -0.659 -0.8455 1.779 4.5285 1.7681 4.1903 2.4157 2.442 4.1944 2.4235 2.9524 0.5354 2.9562 2.45 2.2146 1.9028 3.7099 3.7252 2.8199 4.3946 -0.7876 -1.2017 -0.9953 1.1132 3.2266 2.58 1.9944 0.9066 -0.3245 -1.3072 0.2082 1.8071 -0.6506 -0.9455 6.6638 0.3461 2.3288 -0.7203 1.1082 1.1278 1.0424 2.0229 2.1284 2.611 0.5719 3.8575 1.228 0.9316 -0.1699 3.0491 1.9648 3.5324 3.0931 2.5109 1.7171 3.7013 2.6688 1.6771 2.2309 6.0842 4.2841 3.4687 5.0722 5.2101 0.7286 0.2426 2.2771 1.3508 3.5823 6.0743 6.426 5.1625 4.1623 1.7868 -0.6934 -2.4329 -1.2353 -1.1657 -1.9365 -2.1697 0.1498 -1.856 -1.3436 -1.5377 -3.8081 -2.1215 -0.0538 -1.303 0.4492 -2.1024 -3.4041 -0.3901 -0.395 -2.1293 -2.1965 2.4867 -1.1596 -1.8553 0.4626 -2.4362 -0.4452 0.7237 2.7814 -0.7371 4.4974 2.099 0.261 2.0358 3.3672 1.2083 -0.2975 1.226 -2.2379 3.4997 6.7336 1.0721 3.5732 4.427 3.9881 -0.377 1.7789 0.7914 3.1746 1.1697 0.4943 4.1989 3.8579 4.5827 0.708 0.1299 1.3761 0.4379 4.6597 -1.0421 0.9475 -0.1859 -0.3961 0.3743 -2.3678 -1.5275 -0.2158 3.7262 -1.653 1.0077 0.3878 -0.5564 0.8217 -1.0546 -2.2187 1.4579 5.2826 -0.088 1.1542 2.2087 3.0827 0.5437 3.2339 -1.087 1.2464 5.0454 3.2472 1.5654 5.9546 2.3315 0.9225 1.6242 0.3977 0.6605 2.5381 0.3332 -1.6251 2.345 0.033 0.1172 1.0974 1.1133 1.4754 3.6142 -1.0687 0.1518 1.4361 -0.0639 1.6133 1.6324 -1.7528 0.8589 2.3007 1.4105 -1.3566 -1.2235 1.0087 3.6641 6.3161 0.4366 3.2888 2.703 -0.4772 -4.5614 -2.3746 1.0682 1.376 3.1572 -0.6521 3.9935 1.0783 -1.2937 -1.2449 0.0682 0.7341
FGFR1 1.8318 2.0137 1.6923 1.1478 1.5329 1.193 0.1274 1.647 0.7468 3.2631 3.846 0.8044 1.3217 -0.5492 1.6972 1.928 1.5929 2.9118 1.4575 1.779 2.1882 1.4179 0.8619 1.0307 1.2741 0.1075 0.2686 -0.1983 2.0405 -0.4923 2.3041 4.195 2.9387 1.5488 1.4886 0.149 0.499 2.6532 0.6187 -0.7293 -1.15 0.9914 -0.5543 2.5311 -3.2709 0.7485 2.1286 1.424 -1.214 0.562 1.5304 -0.5017 0.8138 -1.7577 0.7902 -2.2033 -1.6125 0.9224 0.753 -2.1893 1.5333 -3.6413 -1.0303 1.4785 -0.9283 -2.3911 2.9561 0.227 -3.6558 1.4772 -1.8498 -3.7586 -0.2743 -2.1088 -1.7561 1.5195 -0.543 -1.6731 2.1011 -0.1789 -3.8383 2.0507 3.0063 4.4126 0.4957 2.133 1.9205 -1.6949 0.2106 1.8325 0.9298 2.6712 0.4827 0.3739 0.4228 -0.6904 -3.7872 -3.4303 -0.1415 0.288 1.1217 0.1247 1.1886 2.7055 -0.0462 -2.0232 0.2759 1.7038 0.058 0.8664 2.0014 1.4027 -1.9676 0.31 0.4554 0.5266 2.6598 -3.214 -2.4994 -3.234 -3.9188 -2.0701 -1.7577 -1.2643 -0.3389 2.6367 -1.1129 -1.047 0.2719 -1.463 -2.0116 -0.4792 0.633 1.8061 1.8376 -1.2861 -0.8107 -1.6045 -1.8129 0.3542 -1.5268 -1.1432 -0.7384 -1.8702 2.8114 0.4134 -0.4112 -0.2124 4.0437 -0.7373 -1.4024 -0.2225 -1.9788 3.8487 0.9268 -1.0417 1.5847 2.9464 0.088 -1.408 -2.0999 -2.4478 -0.3406 1.7595 -1.887 -1.8008 -0.195 1.5239 -1.0117 -0.0137 0.2991 -0.1134 0.8864 1.6639 -1.9154 -2.7861 1.0671 -2.0282 -1.2719 2.6386 -0.0054 0.0772 2.513 0.0722 0.7553 2.2853 -1.791 -0.9571 1.2772 -0.5335 -1.0891 -1.9353 1.2296 0.1324 1.117 -1.1156 1.2874 -0.4763 -0.7866 0.9042 -1.4465 3.6615 1.2202 0.8253 -2.4493 -2.3905 -1.3306 -0.2728 0.4794 0.7151 2.9841 1.5342 1.9194 2.015 -0.1055 -0.0459
FGFR2 1.2734 1.1586 1.3682 2.2442 0.9424 1.3449 0.2003 2.4253 0.1274 2.5262 3.9128 0.9795 2.5236 1.2008 1.1977 2.8298 4.9262 2.6539 1.5598 2.3968 1.9342 1.4711 1.1793 0.6622 2.1657 3.5531 0.962 0.3563 1.8697 -0.9099 1.7916 5.8717 3.4945 1.6 0.7848 -0.1553 1.1317 3.032 1.2906 2.7253 1.5981 2.1902 0.7741 4.0456 -0.92 0.6491 1.4061 1.7286 -0.425 1.5025 2.1524 1.3376 2.3331 -0.7707 -0.885 -3.1202 -1.7656 0.6848 0.4904 -1.5169 2.3282 -1.6477 0.028 -0.0523 -1.2045 -4.196 2.177 0.3948 -3.2877 0.5096 -0.8017 -3.3524 -0.9242 -2.1585 -2.3073 1.1181 -0.5991 -2.4508 1.8684 1.6315 -3.7464 1.1133 1.5104 3.0937 -1.5079 0.5386 1.6738 -0.8414 0.1673 1.8368 0.4644 1.0905 -0.1935 -1.8854 -1.0903 -1.4645 -3.9652 -4.5742 -1.763 0.1339 0.9627 0.047 -0.5776 1.4727 0.4413 -2.4247 -0.1367 1.6292 1.6008 2.0342 2.8923 2.976 -1.7725 0.463 1.663 2.208 2.131 -2.0506 -1.6003 -1.9244 -1.4418 0.6985 0.8703 -1.1019 1.0112 2.961 -0.1379 -0.0159 1.1909 0.3791 -0.6027 0.9486 1.591 3.5631 2.497 -2.2707 -2.5668 -2.972 -1.5486 -0.2298 -2.3794 -1.1415 -2.4331 -1.64 0.1043 -1.1754 -0.6537 -1.9453 2.1753 -2.5437 -0.4055 -0.5897 0.1146 1.6095 0.8087 -1.6971 0.4365 1.4979 -1.467 0.0523 -3.2616 -2.5263 -0.5658 1.766 -1.7104 -1.0344 2.0665 1.8863 -0.058 0.906 -0.6787 0.4236 0.7268 1.6324 -0.5916 -1.8435 1.2298 -0.4852 0.1685 2.8716 1.06 0.4702 2.3931 1.068 1.1321 2.5434 -0.2148 0.1115 1.6388 0.8892 0.3892 0.383 1.9704 2.3815 0.3055 -0.3824 0.9372 0.1585 1.0223 1.8932 -0.5721 4.3444 0.7921 -0.2797 -0.989 -0.7055 0.8373 0.1006 0.4169 0.8198 2.5271 1.3364 1.8332 2.4374 0.9844 0.5217
FGFR4 1.44 2.1023 2.4489 1.0719 3.3768 1.7711 0.3091 2.1864 0.3265 3.7397 3.9324 1.4681 1.2605 1.0408 2.9917 2.8571 3.8409 3.5687 2.0041 3.7619 2.2903 1.6421 1.6437 0.9644 2.0578 1.2528 0.7732 -0.0023 3.0459 -0.6987 2.6954 5.145 2.4029 1.018 1.2841 -0.3623 0.0422 2.1154 0.0861 -0.1909 1.1858 0.719 -0.3887 2.5187 -2.903 1.2706 2.4391 0.8095 0.9077 1.7145 0.9093 1.2229 2.7724 -1.6773 -0.2602 -1.9924 -1.4464 0.3412 -0.0555 -2.2127 0.6475 -2.9725 -1.1711 0.3594 -0.1969 -1.5463 1.6333 -0.0677 -2.3746 1.3675 -2.2185 -1.8956 -0.9883 -1.3675 -0.684 1.1468 -1.0251 -0.6041 1.875 -0.9164 -3.048 1.7284 1.6494 3.1512 1.0574 1.7704 1.99 -2.3549 0.1984 1.4805 1.3654 1.0961 0.9019 0.0039 -0.5044 0.0525 -4.1831 -2.3846 -0.5457 0.638 0.4775 0.6964 1.0574 2.0246 -0.1193 -2.4281 0.3869 1.3558 0.7039 0.2455 1.5651 1.038 -2.667 0.1244 0.0319 0.4075 2.1135 -1.6788 -2.5522 -3.2096 -2.2373 -1.5859 -1.0689 -1.2675 -0.6397 2.2959 -1.1279 -1.2387 -0.0629 -1.8468 -2.6084 -0.7091 0.5213 1.5187 1.9951 -2.026 -1.0999 -2.2006 -1.7767 0.0701 -1.7044 -0.9428 -0.8645 -1.3391 -0.937 -1.0537 -1.2078 -0.7736 1.7294 -1.5167 -1.6074 -1.1525 -1.6698 1.8521 -0.2399 -0.5153 0.5667 1.7248 0.1605 -1.0765 -1.409 -2.3939 0.2617 1.4807 -0.8963 -0.4388 1.6321 1.796 -0.2101 0.7177 0.4913 0.2835 1.1247 2.3695 -0.5174 -0.5195 2.0525 -0.3766 0.9781 3.5228 0.4835 0.9149 2.49 0.9817 0.5606 1.382 -0.6054 -0.7903 1.248 -0.2817 -0.8586 -1.902 1.3483 -0.7693 0.5834 0.3179 1.4931 -0.7544 0.8721 0.7781 -0.6994 3.1348 0.0935 0.6866 -2.3419 -1.6635 -0.7735 1.0617 1.0597 0.8814 3.6877 0.5558 1.9237 1.4295 0.1802 0.0648
GSK3B -2.8737 -2.1956 0.3898 0.4399 3.4833 3.5045 -6.509 -3.5594 1.8573 0.935 0.9271 2.7797 2.8562 2.248 0.1172 -1.0417 -2.8255 3.0089 -6.0199 -1.6856 1.1159 -3.6967 -1.2763 0.1131 0.4116 -1.7203 5.2099 -6.0052 -2.08 4.2053 0.3676 0.6289 0.5951 2.066 -0.6034 -1.4912 -2.2601 2.0922 -1.9028 2.3559 1.8528 4.4937 1.2616 5.3009 4.5782 -1.7409 -3.6812 -1.1659 1.2626 2.5582 0.2989 1.8311 7.9367 0.0409 -1.7001 -0.624 0.2825 0.9057 3.3194 1.7696 -0.3253 1.4164 1.4133 1.5274 0.0298 1.5859 0.5399 3.5228 1.3517 6.3535 -2.08 -1.0298 1.1661 1.4638 -0.7221 1.066 4.5536 1.4157 -2.8977 -2.1167 -4.4769 -2.5155 -1.3346 -3.734 -5.3216 -2.6925 -3.2536 -2.3968 -4.7792 -4.8982 -1.1008 -3.6598 -2.2599 3.0176 -0.9608 -1.6646 0.9451 0.5766 0.5651 -2.339 -3.5929 -4.1934 1.096 -6.1412 -7.7108 0.8612 -5.0711 -0.4504 -7.6745 -7.0754 -5.9547 -2.5585 -6.8973 -1.8968 0.1759 -1.8875 -1.2018 -4.2777 -5.543 -2.0584 -0.5518 -3.5476 -3.8911 -2.5738 -2.1143 2.4323 -8.3135 -4.9507 -3.2563 -5.9185 -5.1258 -3.8342 -1.3986 1.4523 0.0151 4.4285 -3.0574 5.8818 -3.7257 -2.6248 -0.7131 4.2324 2.3726 0.5336 -4.3741 -5.9071 -0.7404 -2.209 -2.187 2.0384 -1.9108 -0.7407 0.5572 4.9254 -0.2718 0.0266 -3.6127 1.8073 -2.7249 0.4875 3.6916 2.6618 -2.6576 -5.3365 -5.6952 -3.4864 -3.0217 4.0111 -0.6373 3.385 0.3482 -4.5412 -3.6118 -5.0788 -6.2107 -2.5276 -3.1422 -3.8414 -7.4612 -2.6348 -0.3146 -4.7555 0.5511 3.0314 -0.1828 -2.4266 2.4578 3.8714 2.2403 -1.9671 -1.088 -0.9807 -1.1365 0.7614 -1.1924 -3.0359 -1.8849 -0.8965 1.337 -1.1268 -1.928 0.2823 -1.5926 0.2517 -8.6781 -3.84 -0.3654 -5.6973 -1.7123 -1.8425 -5.2857 -3.1559 -2.9733 -8.8906 -2.8445 -5.7123
HCK 2.0488 4.0889 2.566 3.2742 2.9342 0.5366 1.0843 1.5779 0.0279 1.1226 4.9247 2.3159 2.5807 3.8938 2.4483 3.4959 2.8136 4.5007 1.9039 3.3652 2.1017 2.4034 3.8616 2.1278 2.9179 2.9058 2.6434 -1.6403 0.5576 -0.2732 0.4251 1.9329 4.3707 -0.0089 0.4389 1.1176 -1.0695 -1.2595 -1.3263 -0.9004 -2.3194 -0.4488 -1.469 0.945 -2.6841 1.2172 1.3545 0.3132 0.7182 1.1781 0.1005 1.0285 1.779 -0.5312 1.035 0.3558 1.0667 2.1236 1.9175 0.2315 3.2753 0.5202 0.3155 0.966 1.0528 -0.0619 3.2238 1.6427 0.2733 1.5397 -0.4177 -0.9613 -0.3615 -0.4625 -0.7948 0.5984 0.7097 1.0624 1.4831 -0.0332 -2.3395 0.8557 0.8231 1.3422 1.5418 2.5391 1.2074 -0.5386 0.8979 0.7672 -0.1594 0.4059 -0.231 2.7351 0.8598 -1.6049 -2.2098 -2.945 -0.2359 0.1538 -0.1152 -0.0206 1.4257 1.3343 1.0558 -2.1352 -1.8696 0.2277 -0.9829 -0.4689 -0.6559 1.4132 -1.4055 -1.2259 0.2447 0.7941 1.8158 -2.5045 -1.8862 -2.2032 -1.2576 1.2038 -0.9662 -0.3994 1.4253 2.4982 -0.9754 -1.0059 0.2503 -0.7337 -2.247 -0.9781 1.3284 0.7183 1.8108 -0.8117 0.6846 1.3547 0.0166 3.6209 2.3091 -0.2291 1.2364 1.3382 1.4941 0.7621 0.25 1.2949 6.0313 0.8163 0.1803 4.4064 1.3194 1.8812 0.7227 -0.6284 1.8728 4.3594 1.4591 0.1775 0.8639 1.1979 -0.1652 1.3217 -1.7911 -0.1852 2.2368 0.9105 -0.7077 -1.146 -1.2292 1.218 1.8323 0.648 2.8267 3.5058 1.3641 -0.5244 1.8799 2.3029 1.0062 1.4596 1.7677 1.3594 2.1079 -0.5325 -0.0265 0.3295 0.9883 1.9085 2.3716 -2.3785 2.9893 2.4658 1.7499 -0.7103 0.2665 0.5005 0.0472 2.6844 -0.4961 1.7986 1.1979 0.9229 -4.4013 -1.7062 -1.6503 0.4994 2.1987 0.8806 1.8551 1.3345 0.4755 -1.084 -0.4337 0.2494
